id,title,url,source,source_quality,published,retrieved,sector,summary,summary_confidence,event_types,sentiment,materiality,risk_score,entities,tags
url::https://www.france24.com/en/live-news/20260301-texas-port-humming-as-trump-ramps-up-venezuela-oil,Texas port humming as Trump ramps up Venezuela oil,https://www.france24.com/en/live-news/20260301-texas-port-humming-as-trump-ramps-up-venezuela-oil,france24.com,Tier 3,2026-02-28,2026-03-01 04:30 UTC,Extractives & Mining,"A cargo ship teems with workers in hard hats at the Port of Houston, the latest US vessel headed to Venezuela after President Donald Trump lifted restrictions to boost oil production in the crisis-hit…",High (Feed snippet),Oil production/export,Neutral,2,30,,Energy; Infrastructure
url::https://www.elnacional.com/2026/02/petrolero-skipper-y-dos-millones-de-barriles-vinculados-a-iran-pasan-a-proceso-legal/,Petrolero Skipper y dos millones de barriles vinculados a Irán pasan a proceso legal,https://www.elnacional.com/2026/02/petrolero-skipper-y-dos-millones-de-barriles-vinculados-a-iran-pasan-a-proceso-legal/,elnacional.com,Tier 3,2026-02-28,2026-03-01 04:30 UTC,Extractives & Mining,El Departamento de Justicia de los Estados Unidos dio un paso definitivo para formalizar la incautación del superpetrolero Skipper y su cargamento.,High (Feed snippet),,Neutral,1,15,,
url::https://www.elnacional.com/2026/02/una-vision-de-futuro-que-convoque-a-todos-los-venezolanos/,Una visión de futuro que convoque a todos los venezolanos,https://www.elnacional.com/2026/02/una-vision-de-futuro-que-convoque-a-todos-los-venezolanos/,elnacional.com,Tier 3,2026-02-28,2026-03-01 04:30 UTC,Extractives & Mining,"Venezuela es un gigante en pleno despertar. Tras analizar en entregas anteriores la esencia de gobernar con dirección y la importancia de la planificación estratégica, bajo la visión de Bienvenidos al futuro, entramos ahora en la fase decisiva: ejecutar y construir una…",High (Feed snippet),,Neutral,1,15,,Energy; Infrastructure
url::https://www.zawya.com/en/press-release/africa-press-releases/petroleos-de-venezuela-sa-pdvsa-venezuelas-hydrocarbon-ministry-african-energy-chamber-aec-sign-memorandum-of-m3qxof1h,"Petróleos de Venezuela S.A. (PDVSA), Venezuela’s Hydrocarbon Ministry, African Energy Chamber (AEC) Sign Memorandum of Understanding (MoU) to Drive Energy Investment ...",https://www.zawya.com/en/press-release/africa-press-releases/petroleos-de-venezuela-sa-pdvsa-venezuelas-hydrocarbon-ministry-african-energy-chamber-aec-sign-memorandum-of-m3qxof1h,zawya.com,Tier 3,2026-02-27,2026-03-01 04:30 UTC,Extractives & Mining,"Venezuela’s Hydrocarbon Ministry, African Energy Chamber (AEC) Sign Memorandum of Understanding (MoU) to Drive Energy Investment, Collaboration ...",High (Feed snippet),Oil production/export,Neutral,3,45,PDVSA,Energy
url::https://trinidadexpress.com/newsextra/venezuela-meets-with-shell-execs-on-oil-gas-projects/article_ce815659-a7f3-4544-9e9c-7085ef8a191b.html,Venezuela meets with Shell execs on oil/gas projects,https://trinidadexpress.com/newsextra/venezuela-meets-with-shell-execs-on-oil-gas-projects/article_ce815659-a7f3-4544-9e9c-7085ef8a191b.html,trinidadexpress.com,Tier 3,2026-02-27,2026-03-01 04:30 UTC,Extractives & Mining,"Days after US Secretary of State Marco Rubio met with Prime minister Kamla Persad-Bissessar at Caricom’s 50th Regular Meeting of the Conference of Heads of Government, representatives of energy giant,.",High (Feed snippet),Oil production/export,Neutral,2,30,,Energy
url::https://venezuelanalysis.com/opinion/unilateral-sanctions-food-insecurity-and-food-sovereignty-construction-in-venezuela-challenges-and-prospects-for-zero-hunger-in-a-transforming-petrostate/,"Unilateral Sanctions, Food Insecurity and Food Sovereignty Construction in Venezuela: Challenges and Prospects for Zero Hunger in a Transforming Petrostate",https://venezuelanalysis.com/opinion/unilateral-sanctions-food-insecurity-and-food-sovereignty-construction-in-venezuela-challenges-and-prospects-for-zero-hunger-in-a-transforming-petrostate/,venezuelanalysis.com,Tier 2,2026-02-18,2026-03-01 04:30 UTC,Food & Agriculture,Natalia Burdynska Schuurman researched Venezuela's construction of food sovereignty under the Bolivarian Revolution and amid US sanctions.,High (Feed snippet),Sanctions; Humanitarian crisis; FX / Inflation,Negative,3,80,,Sanctions
url::https://elpitazo.net/internacionales/de-venezuela-a-iran-los-bombardeos-ordenados-por-trump-en-su-segundo-mandato/,"De Venezuela a Irán, los bombardeos ordenados por Trump en su segundo mandato",https://elpitazo.net/internacionales/de-venezuela-a-iran-los-bombardeos-ordenados-por-trump-en-su-segundo-mandato/,elpitazo.net,Tier 2,2026-02-28,2026-03-01 04:30 UTC,Health & Water,"Washington. El ataque militar a gran escala lanzado este sábado contra Irán por Estados Unidos, en coordinación con Israel, se suma a la serie de bombardeos ordenados durante su segundo mandato por el presidente estadounidense, Donald Trump, quien regresó al poder el año pasado…",High (Feed snippet),Security,Negative,1,45,,
url::https://www.zawya.com/en/press-release/africa-press-releases/africa-venezuela-advance-practical-trade-and-investment-cooperation-qjr2lho9,"Africa, Venezuela Advance Practical Trade and Investment Cooperation",https://www.zawya.com/en/press-release/africa-press-releases/africa-venezuela-advance-practical-trade-and-investment-cooperation-qjr2lho9,zawya.com,Tier 3,2026-02-26,2026-03-01 04:30 UTC,Finance & Investment,"Leading discussions with Coromoto Godoy Calderón, Minister of Foreign Trade of the Bolivarian Republic of Venezuela, the AEC delegation explored strategies to expand African markets for Venezuelan ...",High (Feed snippet),FX / Inflation,Neutral,2,30,,
url::https://www.elnacional.com/2026/03/sandra-caula-memoria-y-transtierro/,Sandra Caula: Memoria y transtierro,https://www.elnacional.com/2026/03/sandra-caula-memoria-y-transtierro/,elnacional.com,Tier 3,2026-03-01,2026-03-01 04:30 UTC,Cross-cutting / Policy / Risk,"Filósofa, profesora en la Universidad Central de Venezuela y en la Universidad Católica Andrés Bello, traductora, cronista y editora, Sandra Caula ha ganado el premio Transgenérico 2024 (Fundación Para la cultura Urbana) con su primera novela, Gramática sensible (2025),…",High (Feed snippet),,Neutral,1,15,,Policy
url::https://elpitazo.net/politica/parlamento-venezolano-anuncia-la-excarcelacion-de-31-militares-en-el-marco-de-la-ley-de-amnistia/,Parlamento venezolano anuncia la excarcelación de 31 militares en el marco de la Ley de Amnistía,https://elpitazo.net/politica/parlamento-venezolano-anuncia-la-excarcelacion-de-31-militares-en-el-marco-de-la-ley-de-amnistia/,elpitazo.net,Tier 2,2026-02-28,2026-03-01 04:30 UTC,Cross-cutting / Policy / Risk,"El presidente de la comisión parlamentaria para la aplicación de la Ley de Amnistía para la Convivencia Democrática en Venezuela, el diputado Jorge Arreaza, informó este sábado que 31 militares fueron excarcelados con «medidas alternativas» con el objetivo de contribuir a la paz…",High (Feed snippet),,Neutral,1,15,,Policy
